Family,genus,species
Formicidae,TACTTMPAcromyrmex_Neotropical08,TACTTMPAcromyrmex Neotropical08 aspersus
Formicidae,TACTTMPAcromyrmex_Neotropical08,TACTTMPAcromyrmex Neotropical08 santschii
Formicidae,TACTTMPAcromyrmex_Neotropical09,TACTTMPAcromyrmex Neotropical09 landolti
Formicidae,TACTTMPAcromyrmex_Neotropical09,TACTTMPAcromyrmex Neotropical09 laticeps
Formicidae,TACTTMPAcromyrmex_Neotropical09,TACTTMPAcromyrmex Neotropical09 niger
Formicidae,TACTTMPAcromyrmex_Neotropical10,TACTTMPAcromyrmex Neotropical10 balzani
Formicidae,TACTTMPAcromyrmex_Neotropical10,TACTTMPAcromyrmex Neotropical10 hystrix
Formicidae,TACTTMPAcromyrmex_Neotropical10,TACTTMPAcromyrmex Neotropical10 lobicornis
Formicidae,TACTTMPAcromyrmex_Neotropical10,TACTTMPAcromyrmex Neotropical10 nobilis
Formicidae,TACTTMPAcromyrmex_Unknown07,TACTTMPAcromyrmex Unknown07 coronatus
Formicidae,TACTTMPAcropyga_Nearctic01,TACTTMPAcropyga Nearctic01 aranyani
Formicidae,TACTTMPAcropyga_Nearctic01,TACTTMPAcropyga Nearctic01 bakwele
Formicidae,TACTTMPAcropyga_Nearctic01,TACTTMPAcropyga Nearctic01 epedana
Formicidae,TACTTMPAcropyga_Neotropical02,TACTTMPAcropyga Neotropical02 ambigua
Formicidae,TACTTMPAcropyga_Neotropical02,TACTTMPAcropyga Neotropical02 decedens
Formicidae,TACTTMPAcropyga_Neotropical02,TACTTMPAcropyga Neotropical02 exsanguis
Formicidae,TACTTMPAcropyga_Neotropical02,TACTTMPAcropyga Neotropical02 kinomurai
Formicidae,TACTTMPAcropyga_Neotropical02,TACTTMPAcropyga Neotropical02 oreithauma
Formicidae,TACTTMPAcropyga_Neotropical02,TACTTMPAcropyga Neotropical02 yaeyamensis
Formicidae,TACTTMPAcropyga_Neotropical03,TACTTMPAcropyga Neotropical03 dubitata
Formicidae,TACTTMPAcropyga_Neotropical03,TACTTMPAcropyga Neotropical03 yushi
Formicidae,TACTTMPAcropyga_Neotropical04,TACTTMPAcropyga Neotropical04 hirsutula
Formicidae,TACTTMPAcropyga_Neotropical04,TACTTMPAcropyga Neotropical04 manuense
Formicidae,TACTTMPAcropyga_Neotropical05,TACTTMPAcropyga Neotropical05 myops
Formicidae,TACTTMPAcropyga_Neotropical05,TACTTMPAcropyga Neotropical05 parvidens
Formicidae,TACTTMPAcropyga_Neotropical05,TACTTMPAcropyga Neotropical05 romeo
Formicidae,TACTTMPAcropyga_Neotropical05,TACTTMPAcropyga Neotropical05 rubescens
Formicidae,TACTTMPAcropyga_Neotropical05,TACTTMPAcropyga Neotropical05 tricuspis
Formicidae,TACTTMPAcropyga_Neotropical06,TACTTMPAcropyga Neotropical06 goeldii
Formicidae,TACTTMPAcropyga_Neotropical06,TACTTMPAcropyga Neotropical06 hystrix
Formicidae,TACTTMPAcropyga_Neotropical06,TACTTMPAcropyga Neotropical06 inezae
Formicidae,TACTTMPAcropyga_Neotropical06,TACTTMPAcropyga Neotropical06 smithii
Formicidae,TACTTMPAcropyga_Neotropical07,TACTTMPAcropyga Neotropical07 acutiventris
Formicidae,TACTTMPAcropyga_Neotropical07,TACTTMPAcropyga Neotropical07 arnoldi
Formicidae,TACTTMPAcropyga_Neotropical07,TACTTMPAcropyga Neotropical07 fuhrmanni
Formicidae,TACTTMPAcropyga_Neotropical08,TACTTMPAcropyga Neotropical08 nipponensis
Formicidae,TACTTMPAcropyga_Neotropical08,TACTTMPAcropyga Neotropical08 paleartica
Formicidae,TACTTMPAcropyga_Neotropical08,TACTTMPAcropyga Neotropical08 stenotes
Formicidae,TACTTMPAcropyga_Neotropical09,TACTTMPAcropyga Neotropical09 dubia
Formicidae,TACTTMPAcropyga_Neotropical09,TACTTMPAcropyga Neotropical09 gelasis
