Subfamily	MRCA	Grafted_species	Phylogeny_pub	Phylogeny_data_source	Input_tree_type	Stem_mode	Phylogeny_file_path	Notes	Original_Tree
	Anonychomyrma	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Anonychomyrma/extract_Anonychomyrma_20260411-115329_with_outgroup.tre		
	Froggattella	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Froggattella/extract_Froggattella_20260411-115329_with_outgroup.tre		
	Iridomyrmex	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Iridomyrmex/extract_Iridomyrmex_20260411-115329_with_outgroup.tre		
	Linepithema	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Linepithema/extract_Linepithema_20260411-115329_with_outgroup.tre		
	Tetraponera	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Tetraponera/extract_Tetraponera_20260411-115329_with_outgroup.tre		
	Oecophylla	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Oecophylla/extract_Oecophylla_20260411-115329_with_outgroup.tre		
	Myrmica_wheeleri,Myrmica_fracticornis	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Myrmica/extract_Myrmica_20260411-115330_with_outgroup.tre		
	Tetramorium_taylori,Tetramorium_validiusculum	NA	Nelsen et al 2023	Multilocus	chronogram	crown	project/published/formicidae/nelsen2023/extracted_genera/Tetramorium/extract_Tetramorium_20260411-115330_with_outgroup.tre		
	Cardiocondyla_mauritanica,Cardiocondyla_thoracica	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Cardiocondyla/extract_Cardiocondyla_20260411-115330_with_outgroup.tre		
	Megalomyrmex	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Megalomyrmex/extract_Megalomyrmex_20260411-115330_with_outgroup.tre		
	Syllophopsis	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Syllophopsis/extract_Syllophopsis_20260411-115330_with_outgroup.tre		
	Myrmicaria	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Myrmicaria/extract_Myrmicaria_20260411-115331_with_outgroup.tre		
	Ochetomyrmex	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Ochetomyrmex/extract_Ochetomyrmex_20260411-115331_with_outgroup.tre		
	Polyrhachis	NA	Nelsen et al 2023	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2023/extracted_genera/Polyrhachis/extract_Polyrhachis_20260411-115331_with_outgroup.tre		
	Monomorium	NA	Nelsen et al 2018	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2018/extract_mrca_Monomorium_chnodes-Monomorium_junodi_20260529-211713_with_outgroup.tre		
	Solenopsis	NA	Nelsen et al 2018	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2018/extract_mrca_Solenopsis_papuana-Solenopsis_xyloni_20260529-211713_with_outgroup.tre		
	Chelaner	NA	Nelsen et al 2018	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2018/extract_mrca_Chelaner_decuria-Chelaner_bicornis_20260529-211713_with_outgroup.tre		
	Technomyrmex	NA	Nelsen et al 2018	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2018/extract_mrca_Technomyrmex_fisheri-Technomyrmex_difficilis_20260529-211713_with_outgroup.tre		
	Tapinoma	NA	Nelsen et al 2018	Multilocus	chronogram	outgroup	project/published/formicidae/nelsen2018/extract_mrca_Tapinoma_opacum-Tapinoma_nigerrimum_20260529-211713_with_outgroup.tre		
		NA							
	MAMI taxa:	NA						Grafts in three places	
Easy	Malagidris_belti,Malagidris_jugum	NA	Camacho2024	UCEs	chronogram	outgroup	project/published/mami-madagascar/camacho2024/extracted_genera/Malagidris/extract_Malagidris_20260411-114011_with_outgroup.tre		
Easy	Metapone_madagascarica	NA	Camacho2024	UCEs	chronogram	outgroup	project/published/mami-madagascar/camacho2024/extracted_genera/Metapone/extract_Metapone_20260411-114011_with_outgroup.tre		
Easy	Royidris_longiseta,Royidris_notorthotenes	NA	Camacho2024	UCEs	chronogram	outgroup	project/published/mami-madagascar/camacho2024/extracted_genera/Royidris/extract_Royidris_20260411-114011_with_outgroup.tre		
Easy	Tanipone_aglandula,Tanipone_scelesta	NA	Camacho2024	UCEs	chronogram	outgroup	project/published/mami-madagascar/camacho2024/extracted_genera/Tanipone/extract_Tanipone_20260411-114012_with_outgroup.tre		
Easy	Vitsika_producta,Vitsika_suspicax	NA	Camacho2024	UCEs	chronogram	outgroup	project/published/mami-madagascar/camacho2024/extracted_genera/Vitsika/extract_Vitsika_20260411-114012_with_outgroup.tre		
Hard	Aphaenogaster?	NA							
Hard	Cataulacus?	NA							
Hard	Meranoplus	NA							
Hard	Mystrium_mysticum,Mystrium_mirror	NA	Camacho2024	UCEs	chronogram	crown	project/published/mami-madagascar/camacho2024/extract_Mystrium_20260420-115036_with_outgroup.tre		
Hard	Nesomyrmex	NA							
Hard	Paraparatrechina?	NA							
Hard	Paratrechina?	NA							
		NA							
Hard	Simopone	NA							
Hard	Solenopsis	NA							
Hard	Stigmatomma	NA							
Hard	Strumigenys_bibiolona,Strumigenys_lura	NA	Camacho2024	UCEs	chronogram	crown	project/published/mami-madagascar/camacho2024/xtract_mrca_Strumigenys_ravola-Strumigenys_charino_20260418-151451_with_outgroup_Strumigenys_emmae_removed.tre		
Hard	Technomyrmex	NA							
Hard	Tetramorium	NA							
Hard	Tetraponera	NA							
Hard	Trichomyrmex	NA							
Hard	Syllophopsis	NA							
Hard	Monomorium	NA							
Hard	Carebara	NA							
Easy	Adetomyrma_bressleri,Adetomyrma_caputleae	NA	Camacho2024	UCEs	chronogram	outgroup	project/published/mami-madagascar/camacho2024/extracted_genera/Adetomyrma/extract_mrca_Adetomyrma_aureocuprea-Adetomyrma_goblin_20260413-102316_with_outgroup.tre		
Hard	Prionopelta	NA							
Hard	Meranoplus	NA							
Hard	Crematogaster	NA							
	Eutetramorium_mocquerysi	NA	Camacho2024	UCEs	chronogram	outgroup	project/published/mami-madagascar/camacho2024/extract_Eutetramorium_20260420-144251_with_outgroup.tre		
		NA							
	Myrmecocystus	NA	van Elst et al 2021	UCEs	chronogram	crown	project/published/myrmecocystus/vanelst2021/myrmecocystus-concattop-renamed.nwk		
