Subfamily	Genus	Species_subspecies_no	Species_no	Grafted_species	Phylogeny_pub	Phylogeny_data_source	Phylogeny_file_path	Notes
Dorylinae	Dorylus	127	60		Borowiec 2019	UCEs	genus_studies/dorylus/borowiec2019/Dorylus_with_outgroup.tre	Available
Dolichoderinae	Dorymyrmex	87	61		Oberski 2025	UCEs	genus_studies/dorymyrmex/oberski2025/Dorymyrmex_with_outgroup.tre	Available
Dorylinae	Eburopone	2	2					
Formicinae	Echinopla	39	36					
Dorylinae	Eciton	29	12					
Dolichoderinae	Ecphorella	1	1					
Ectatomminae	Ectatomma	15	15		Camacho et al 2022	UCEs	genus_studies/ectatomma/camacho2022/Ectatomma_with_outgroup.tre	Available
Ponerinae	Ectomomyrmex	31	27					
Ponerinae	Emeryopone	5	5					
Myrmicinae	Epelysidris	1	1					
Myrmicinae	Epopostruma	20	20					
Myrmicinae	Erromyrma	1	1					
Ponerinae	Euponera	27	26		Dore et al 2025			
Formicinae	Euprenolepis	8	8					
Myrmicinae	Eurhopalothrix	55	55					
Dorylinae	Eusphinctus	2	2					
Myrmicinae	Eutetramorium	3	3					
Ponerinae	Feroponera	1	1					
Ponerinae	Fisheropone	2	2					
Dolichoderinae	Forelius	19	19					
Formicinae	Formica	284	260		Borowiec et al 2021	UCEs	genus_studies/formica/borowiec2021/Formica_with_outgroup.tre	Available
Myrmicinae	Formicoxenus	8	8					
Myrmicinae	Formosimyrma	1	1					
Dolichoderinae	Froggattella	2	2					
Amblyoponinae	Fulakora	26	26					
Myrmicinae	Gaoligongidris	1	1					
Myrmicinae	Gauromyrmex	3	3					
Formicinae	Gesomyrmex	7	6					
Formicinae	Gigantiops	1	1					
Ectatomminae	Gnamptogenys	33	33		Camacho et al 2022	UCEs	genus_studies/gnamptogenys/camacho2022/Gnamptogenys_with_outgroup.tre	Available
Myrmicinae	Goniomma	10	10					
Dolichoderinae	Gracilidris	1	1					
Ponerinae	Hagensia	6	2					
Myrmicinae	Harpagoxenus	4	3					
Ponerinae	Harpegnathos	13	9					
Ectatomminae	Heteroponera	27	27		Camacho et al 2022	UCEs	genus_studies/heteroponera/camacho2022/Heteroponera_with_outgroup.tre	Available
Ectatomminae	Holcoponera	40	40		Camacho et al 2022	UCEs	genus_studies/holcoponera/camacho2022/Holcoponera_with_outgroup.tre	Available
Myrmicinae	Huberia	2	2					
Myrmicinae	Hylomyrma	30	30					
